iterations,median_betweeness_centrality,median_vertex_degree,num_opinions,median_pagerank
161,0.029344193817878023,9.0,2,0.051254843367505354
224,0.023244453726909864,10.0,2,0.05067439788677895
99,0.023097094588322653,9.0,2,0.048694675484811975
700,0.030152928617840895,10.0,2,0.052338833815625194
203,0.024606655527708157,9.0,2,0.04791884675440178
700,0.027816067947646895,8.5,2,0.04972896497166981
148,0.025461449517513588,9.0,2,0.05069812573201597
700,0.023927875243664715,8.5,2,0.04825104700008226
700,0.02151907546644389,10.5,2,0.05002185032054207
98,0.024978165109744054,11.0,2,0.054569571769769176
310,0.02134618954794393,9.0,2,0.05005749147728762
138,0.025940668665126863,9.5,2,0.0503157681476579
306,0.021729302211758353,12.0,2,0.05187463866339282
167,0.024922259352083913,11.0,2,0.0515774988609695
155,0.028211465272868774,9.0,2,0.05168750299849306
700,0.025373619233268356,10.0,1,0.050019126390100324
104,0.02176991299798317,10.5,2,0.049942522007161344
175,0.025059175717070455,9.0,2,0.049704362584032255
700,0.027705838670750944,10.5,2,0.05232190826105108
165,0.025222779170147584,10.0,2,0.05095464436376128
155,0.025953773322194368,9.5,2,0.05074742425072317
700,0.028480924533556107,9.0,1,0.051032473050047794
355,0.020268263250719388,9.5,2,0.050068772916803284
182,0.020944722918407127,9.0,2,0.04776932775339598
700,0.026325071939107027,11.0,2,0.05381462310903379
675,0.02355541631857421,9.0,2,0.04829757967124687
102,0.023687691450849344,10.0,2,0.05134473235600395
161,0.026032674278288308,9.5,2,0.05101549388421117
124,0.02932626941914867,8.0,2,0.0484330026655065
700,0.027882205513784456,8.0,2,0.049037231966814955
700,0.026427179058758004,9.5,2,0.05034185191847085
700,0.02508122157244964,10.0,2,0.04989747693438233
256,0.02510442773600668,9.0,2,0.047362733111137804
700,0.026914508493455856,9.5,2,0.05132701020738091
700,0.030504501995730064,9.0,2,0.05056765694103201
700,0.02485981367560315,9.0,1,0.04835350995725228
132,0.02308317089018843,10.0,2,0.049397145223193675
700,0.027554998607630183,10.0,2,0.05077910750652861
700,0.023192239858906526,9.0,2,0.04818381361838027
170,0.024356028961292117,10.0,2,0.049520880502284044
185,0.02236958136080943,10.0,2,0.04881676535999306
183,0.02427944862155388,10.0,2,0.05119146177389575
327,0.02361807296017822,10.0,2,0.050664883713580175
199,0.02227791701475912,9.0,2,0.0499243291010418
581,0.026222191280670812,9.0,2,0.0478365651404368
444,0.021536480089111666,10.5,2,0.049981733006631744
700,0.028243061357096443,10.0,2,0.05099662046233784
700,0.03485797827903091,8.5,2,0.049974622231941566
145,0.028118908382066272,9.0,2,0.05069761818982944
162,0.030214424951267055,9.0,2,0.04964232115190882
700,0.029713171818434976,8.0,2,0.04799039299908569
134,0.023412698412698413,9.0,2,0.05008415818451805
103,0.021122250069618487,10.0,2,0.04933439802351318
155,0.024177341501902903,9.0,2,0.04919816760285012
700,0.025802159720288372,10.0,2,0.05010447243365003
700,0.028996101364522416,10.0,2,0.05348317715492447
700,0.025939849624060145,9.5,2,0.05032246399411498
700,0.02378747795414462,10.5,2,0.05161449166129235
166,0.03127262600946812,9.5,2,0.051949677972169955
244,0.019456761562024714,8.0,2,0.04865133346275767
291,0.021346189547943935,10.0,2,0.047985869866044105
700,0.02390234846375197,9.0,2,0.04942220030890082
700,0.03254664438874964,9.0,1,0.05184263321171362
388,0.02415413533834586,9.0,2,0.050858737920116553
468,0.030035737491877837,9.0,2,0.051107088527621566
366,0.02592592592592592,8.5,2,0.048888595288495915
700,0.02642949967511371,10.0,2,0.0503991284382616
700,0.026696159590896433,10.0,1,0.05119843675897075
540,0.02173141186299081,9.0,2,0.04812884766553855
174,0.02277104799034623,10.0,2,0.04896116589285526
134,0.026073285064513136,10.0,2,0.049828590598058255
700,0.021425090504037868,9.0,1,0.04823376595344704
700,0.0254463773813619,8.5,2,0.04893467675550894
170,0.023210804789752154,9.0,2,0.049835356195098435
157,0.03457950431634642,8.0,2,0.05183179921424282
110,0.02329677307747483,10.0,2,0.04992577965834683
700,0.020902213446073094,10.0,1,0.04850995897612757
700,0.021939107026826325,9.0,2,0.04924972200409608
145,0.025707787988489744,10.5,2,0.05217150566916579
700,0.024965190754664437,9.0,2,0.04773030941920422
121,0.01884572542467279,9.0,2,0.04865397032593241
700,0.027969228627123362,9.0,2,0.05024670099989462
123,0.025880287137597078,10.5,2,0.05090914458396052
182,0.029511278195488717,9.0,2,0.049338255653330276
166,0.02642844484949748,9.5,2,0.05117491807022441
220,0.018893298059964724,9.5,2,0.0488561858995846
130,0.02789032767102942,10.5,2,0.05179376809593508
116,0.025766338924233658,8.5,2,0.04916611444871627
700,0.02453703703703703,10.0,2,0.05172731819676059
700,0.029054116773415017,10.0,1,0.05137345677322187
700,0.025511829788145576,9.0,2,0.05097275793671445
700,0.026407453819734517,10.0,2,0.05206654597574571
700,0.023869859834772113,10.0,2,0.04942297113843522
243,0.03002297410192147,8.5,2,0.050372574073029155
700,0.02189153439153439,11.0,2,0.05209824740334491
700,0.027551517683096625,9.5,2,0.05094320416854639
114,0.024437039568618514,10.0,2,0.04914104443880918
700,0.02627517868745939,7.5,2,0.048027474496735084
700,0.02000835421888053,10.0,2,0.050623969226153774
