iterations,median_vertex_degree,median_pagerank,median_betweeness_centrality,num_opinions
700,19.0,0.04999999999999998,0.0,2
109,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
95,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
113,19.0,0.04999999999999998,0.0,2
139,19.0,0.04999999999999998,0.0,2
102,19.0,0.04999999999999998,0.0,2
80,19.0,0.04999999999999998,0.0,2
83,19.0,0.04999999999999998,0.0,2
106,19.0,0.04999999999999998,0.0,2
134,19.0,0.04999999999999998,0.0,2
86,19.0,0.04999999999999998,0.0,2
100,19.0,0.04999999999999998,0.0,2
133,19.0,0.04999999999999998,0.0,2
99,19.0,0.04999999999999998,0.0,2
130,19.0,0.04999999999999998,0.0,2
87,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
112,19.0,0.04999999999999998,0.0,2
90,19.0,0.04999999999999998,0.0,2
72,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
94,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
114,19.0,0.04999999999999998,0.0,2
110,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
108,19.0,0.04999999999999998,0.0,2
88,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
314,19.0,0.04999999999999998,0.0,2
110,19.0,0.04999999999999998,0.0,2
146,19.0,0.04999999999999998,0.0,2
88,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
117,19.0,0.04999999999999998,0.0,2
77,19.0,0.04999999999999998,0.0,2
103,19.0,0.04999999999999998,0.0,2
114,19.0,0.04999999999999998,0.0,2
674,19.0,0.04999999999999998,0.0,2
88,19.0,0.04999999999999998,0.0,2
111,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
700,19.0,0.04999999999999998,0.0,1
87,19.0,0.04999999999999998,0.0,2
89,19.0,0.04999999999999998,0.0,2
393,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
700,19.0,0.04999999999999998,0.0,1
251,19.0,0.04999999999999998,0.0,2
432,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
396,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
95,19.0,0.04999999999999998,0.0,2
93,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
700,19.0,0.04999999999999998,0.0,1
197,19.0,0.04999999999999998,0.0,2
105,19.0,0.04999999999999998,0.0,2
92,19.0,0.04999999999999998,0.0,2
100,19.0,0.04999999999999998,0.0,2
81,19.0,0.04999999999999998,0.0,2
107,19.0,0.04999999999999998,0.0,2
122,19.0,0.04999999999999998,0.0,2
98,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
90,19.0,0.04999999999999998,0.0,2
93,19.0,0.04999999999999998,0.0,2
85,19.0,0.04999999999999998,0.0,2
74,19.0,0.04999999999999998,0.0,2
89,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
700,19.0,0.04999999999999998,0.0,2
148,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
87,19.0,0.04999999999999998,0.0,2
122,19.0,0.04999999999999998,0.0,2
111,19.0,0.04999999999999998,0.0,2
199,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
700,19.0,0.04999999999999998,0.0,1
135,19.0,0.04999999999999998,0.0,2
254,19.0,0.04999999999999998,0.0,2
74,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
700,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
76,19.0,0.04999999999999998,0.0,2
95,19.0,0.04999999999999998,0.0,2
84,19.0,0.04999999999999998,0.0,2
99,19.0,0.04999999999999998,0.0,2
121,19.0,0.04999999999999998,0.0,2
90,19.0,0.04999999999999998,0.0,2
144,19.0,0.04999999999999998,0.0,2
87,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,2
700,19.0,0.04999999999999998,0.0,1
