iterations,median_betweeness_centrality,num_opinions,median_pagerank,median_vertex_degree
134,0.016294361908396997,[2],0.050658564453356744,13.5
700,0.01663937913937914,[1],0.05062277052497615,13.5
113,0.014897326520133536,[2],0.051851068553492585,14.5
700,0.01303894286350427,[2],0.05139093348591966,14.0
107,0.015099504134591851,[2],0.048836572940671154,13.5
88,0.016581436756875352,[2],0.04983913491467466,13.0
700,0.019010383703366163,[2],0.05012541417075152,13.0
154,0.015234310848345936,[2],0.050581761884877785,14.0
700,0.01867442174459718,[2],0.0494952682691375,12.0
700,0.015001056448424869,[1],0.05115095594557702,14.0
700,0.01713943950786056,[1],0.05249442360655903,14.0
700,0.015018672036215893,[2],0.05111281913224758,14.0
700,0.018206144083337063,[2],0.050923727005904446,13.0
113,0.016910964279385328,[2],0.05038129914852183,13.0
120,0.018346370977949923,[2],0.05135840154726708,13.0
700,0.02048386960667662,[2],0.05173816963287784,13.0
121,0.012499813377006359,[2],0.04881497296045656,14.0
700,0.01459810494898214,[1],0.05001291349915432,14.0
192,0.01547193060350955,[2],0.04993028827042968,13.5
137,0.01260335668230405,[2],0.050542455466581857,14.5
700,0.017675672280935438,[1],0.04939017114005215,13.0
700,0.018138464848991162,[2],0.05074775842161064,13.0
81,0.019239069896964632,[2],0.051872695758741455,13.0
88,0.014505710339043671,[2],0.051103746253890504,14.0
117,0.013029408862742195,[2],0.05057687318560798,14.0
109,0.017262140069157612,[2],0.05129271585709208,13.5
111,0.01717333186631432,[2],0.04996938824145141,13.0
75,0.015179605969079652,[2],0.04886400516792096,13.0
92,0.015388956397728325,[2],0.048232000008239864,13.0
305,0.017031279311981066,[2],0.04997501262262094,13.0
154,0.01399819316485983,[2],0.051493130890519705,14.5
100,0.01672685663913734,[2],0.049089727265275926,13.0
192,0.016386853886853885,[2],0.051240612457453705,14.0
125,0.015820655952234898,[2],0.05059807892808818,13.5
104,0.017147456182543902,[2],0.05006350106885213,13.0
131,0.017051110033566172,[2],0.04915337914159053,13.0
700,0.018622418841717087,[2],0.04981677262835829,12.5
100,0.01496588207114523,[2],0.04844518246056426,13.0
131,0.013276554504624678,[2],0.04844060160253387,13.5
125,0.017053787667822756,[2],0.047756644809332546,12.0
187,0.014587986737109543,[2],0.04800482707336273,13.0
700,0.015973987026618605,[1],0.05031117948541686,13.5
700,0.013426729216202898,[2],0.0490226730699685,13.5
700,0.014631786342312658,[1],0.05000340581686557,14.0
91,0.014082538643942153,[2],0.04985985575852281,14.0
700,0.018898994118292364,[1],0.049230051208499055,13.0
700,0.015710945974103867,[1],0.05091578791560555,14.0
242,0.01776356359689693,[2],0.050312282027835734,13.0
700,0.015710743123023823,[2],0.049555475870234636,12.5
700,0.012134713889099853,[1],0.048873123479981545,14.0
129,0.013503090476774688,[2],0.0526098135585617,15.0
110,0.015757406985477163,[2],0.04969575141841173,13.0
123,0.016427115769221026,[2],0.04900544899748599,12.5
121,0.011334928878788529,[2],0.04974750353736538,15.0
213,0.017048619022303233,[2],0.05095218335044184,13.0
700,0.015433502494906003,[1],0.05138722696847188,14.0
700,0.015880107546774214,[1],0.049327009068037796,13.0
106,0.01611404352632423,[2],0.04873580059571493,13.0
118,0.013898130784095696,[2],0.04992767816987666,14.0
110,0.019316916027442343,[2],0.050103770454406,12.0
700,0.017415974214219827,[2],0.04938994781410648,12.5
177,0.017209893744981466,[2],0.05061918274096838,13.5
700,0.017070770360244042,[2],0.049534404643762055,12.0
700,0.015450761064796151,[1],0.04995827226291334,13.5
88,0.01549126636845935,[2],0.0506088458256197,14.0
95,0.016868803710908972,[2],0.05086372518199607,13.0
700,0.017587910789665172,[1],0.049305647381890416,12.5
700,0.01608482485675468,[1],0.05005699576615705,13.0
78,0.01689862281967545,[2],0.04987557024344966,13.0
700,0.0159095128393374,[1],0.04840322588297717,12.5
700,0.014592944417505818,[2],0.04846627743715614,13.0
700,0.017129548489197607,[2],0.04970951018662961,13.0
158,0.013587095166042534,[2],0.05253996791390944,15.0
93,0.014985096125447003,[2],0.04916516255603222,13.5
700,0.018084774225125097,[2],0.05119328562236729,13.0
95,0.016188222109274737,[2],0.049634985373852816,13.0
700,0.015161982267245425,[2],0.050748544134868144,14.0
107,0.016709070656439076,[2],0.05152487185676179,14.0
700,0.0147843628106786,[2],0.05093647395202565,14.0
130,0.015530230003914215,[2],0.05020529691128536,13.5
152,0.018776423381686537,[2],0.04835779323883514,11.5
117,0.016908213618739933,[2],0.05212108636794823,14.0
109,0.016725168918151373,[2],0.051808728321031304,14.0
158,0.016387202790711562,[2],0.05092443514542287,13.5
